reading_id,timestamp,site_id,zone_id,sensor_id,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,signal_dbm,sensor_battery_pct,angular_crack_velocity_product,crack_expansion_ratio,moisture_weighted_tilt,hazard_index_H,risk_class
697,2026-01-30T01:00:00.000Z,korba-west-bench,zone-b,TL-301,1.4,0.3,1.77,0.41,1.63,52,-79,64,0.153,0.219,0.728,0.274,Normal
698,2026-01-30T02:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,3.26,0.93,7.41,1.35,2.63,73,-84,94,1.349,0.18,2.38,0.664,Critical
699,2026-01-30T03:00:00.000Z,singareni-s4,zone-b,TL-301,3.52,0.92,7.18,1.22,3.58,75,-64,85,1.214,0.168,2.64,0.642,Critical
700,2026-01-30T04:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0,0.1,1.67,0.14,0,37,-69,86,0.024,0.079,0,0.07,Normal
701,2026-01-30T05:00:00.000Z,raniganj-south-slope,zone-b,EX-201,1.52,0.2,2.89,0.62,1.71,66,-68,75,0.144,0.207,1.003,0.343,Warning
702,2026-01-30T06:00:00.000Z,raniganj-south-slope,zone-d,EX-201,3.31,0.61,6.95,1.39,3.02,70,-78,69,0.909,0.197,2.317,0.551,Critical
703,2026-01-30T07:00:00.000Z,singareni-s4,zone-d,PZ-401,1.58,0.41,4.5,0.72,2.31,49,-85,64,0.336,0.157,0.774,0.382,Warning
704,2026-01-30T08:00:00.000Z,jharia-open-pit,zone-a,EX-201,0.66,0.13,0.86,0,0.44,30,-76,68,0.013,0,0.198,0.078,Normal
705,2026-01-30T09:00:00.000Z,singareni-s4,zone-c,PZ-401,1.15,0.55,3.23,0.32,1.62,44,-68,93,0.231,0.096,0.506,0.216,Normal
706,2026-01-30T10:00:00.000Z,singareni-s4,zone-d,TL-301,0.46,0.26,1.7,0.33,0.55,19,-81,91,0.112,0.183,0.087,0.166,Normal
707,2026-01-30T11:00:00.000Z,jharia-open-pit,zone-d,TL-301,3.9,0.75,6.38,1.04,3.3,66,-82,71,0.855,0.16,2.574,0.622,Critical
708,2026-01-30T12:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.53,0,1.04,0,1.95,28,-79,62,0,0,0.148,0.112,Normal
709,2026-01-30T13:00:00.000Z,korba-west-bench,zone-d,SN-101,0.26,0.04,1.21,0,0.23,38,-80,82,0.004,0,0.099,0.09,Normal
710,2026-01-30T14:00:00.000Z,raniganj-south-slope,zone-a,TL-301,3.63,0.98,6.95,1.42,4.07,55,-79,99,1.49,0.201,1.997,0.657,Critical
711,2026-01-30T15:00:00.000Z,korba-west-bench,zone-a,SN-101,3.18,0.95,5.77,1.15,3.07,89,-76,71,1.188,0.196,2.83,0.628,Critical
712,2026-01-30T16:00:00.000Z,jharia-open-pit,zone-d,SN-101,1.09,0.14,0.51,0.04,0.69,30,-75,89,0.02,0.066,0.327,0.15,Normal
713,2026-01-30T17:00:00.000Z,singareni-s4,zone-d,SN-101,0,0.07,1.85,0,0.43,28,-69,95,0.007,0,0,0.149,Normal
714,2026-01-30T18:00:00.000Z,singareni-s4,zone-b,SN-101,0.78,0.1,2.21,0.12,0.7,14,-66,83,0.022,0.052,0.109,0.066,Normal
715,2026-01-30T19:00:00.000Z,jharia-open-pit,zone-a,EX-201,0.49,0.2,0.24,0.15,0.81,23,-68,67,0.05,0.441,0.113,0.123,Normal
716,2026-01-30T20:00:00.000Z,jharia-open-pit,zone-d,SN-101,1,0.13,0.87,0.06,0.67,25,-69,62,0.021,0.062,0.25,0.157,Normal
717,2026-01-30T21:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.83,0.07,0.79,0.16,0,33,-80,61,0.018,0.18,0.274,0.145,Normal
718,2026-01-30T22:00:00.000Z,korba-west-bench,zone-d,TL-301,0.23,0.27,0,0,0.33,33,-77,81,0.027,0,0.076,0.069,Normal
719,2026-01-30T23:00:00.000Z,jharia-open-pit,zone-b,SN-101,2.08,0.32,3.48,0.24,1.56,54,-79,94,0.109,0.067,1.123,0.344,Warning
720,2026-01-31T00:00:00.000Z,singareni-s4,zone-c,EX-201,1.66,0.41,2.46,0.72,1.61,62,-76,73,0.336,0.281,1.029,0.4,Warning
721,2026-01-31T01:00:00.000Z,jharia-open-pit,zone-d,EX-201,0.28,0,1.84,0.17,0.83,32,-81,83,0,0.088,0.09,0.146,Normal
722,2026-01-31T02:00:00.000Z,singareni-s4,zone-b,SN-101,0,0,0,0.06,0.28,29,-81,98,0,0.6,0,-0.04,Normal
723,2026-01-31T03:00:00.000Z,raniganj-south-slope,zone-a,PZ-401,3.06,0.81,8.47,1.2,3.62,75,-62,71,1.053,0.14,2.295,0.597,Critical
724,2026-01-31T04:00:00.000Z,singareni-s4,zone-c,TL-301,1.4,0.27,1.94,0.23,0.75,20,-60,86,0.089,0.113,0.28,0.151,Normal
725,2026-01-31T05:00:00.000Z,raniganj-south-slope,zone-b,EX-201,0.41,0.1,0.75,0.15,0.29,27,-68,93,0.025,0.176,0.111,0.086,Normal
726,2026-01-31T06:00:00.000Z,jharia-open-pit,zone-a,TL-301,0,0.1,0.51,0.06,1.03,19,-77,93,0.016,0.098,0,0.105,Normal
727,2026-01-31T07:00:00.000Z,singareni-s4,zone-b,TL-301,0.32,0,1.25,0,1.36,13,-61,61,0,0,0.042,0.104,Normal
728,2026-01-31T08:00:00.000Z,singareni-s4,zone-c,SN-101,0.55,0.37,0.98,0,0,21,-70,83,0.037,0,0.116,0.16,Normal
729,2026-01-31T09:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,1.21,0.29,2.26,0.45,2.06,46,-61,61,0.16,0.191,0.557,0.268,Normal
730,2026-01-31T10:00:00.000Z,singareni-s4,zone-d,TL-301,0.59,0.19,0.86,0.41,1.23,19,-80,68,0.097,0.427,0.112,0.156,Normal
731,2026-01-31T11:00:00.000Z,singareni-s4,zone-c,TL-301,3.77,1.03,7.47,0.94,3.31,75,-63,99,1.071,0.124,2.828,0.704,Critical
732,2026-01-31T12:00:00.000Z,korba-west-bench,zone-a,SN-101,0.48,0.11,1.44,0.22,0,31,-83,77,0.035,0.143,0.149,0.155,Normal
733,2026-01-31T13:00:00.000Z,jharia-open-pit,zone-d,SN-101,0,0,1.23,0.28,0.54,27,-60,83,0,0.211,0,0.114,Normal
734,2026-01-31T14:00:00.000Z,singareni-s4,zone-b,SN-101,3.52,0.77,7.12,1.14,2.52,82,-81,86,0.955,0.158,2.886,0.622,Critical
735,2026-01-31T15:00:00.000Z,singareni-s4,zone-d,PZ-401,1.23,0.16,4.21,0.48,1.05,54,-62,86,0.093,0.111,0.664,0.273,Normal
736,2026-01-31T16:00:00.000Z,jharia-open-pit,zone-c,PZ-401,1.46,0.49,2.16,0.67,2.25,39,-62,61,0.377,0.296,0.569,0.298,Normal
737,2026-01-31T17:00:00.000Z,korba-west-bench,zone-c,PZ-401,3.25,1.11,7.18,1.16,3.17,75,-68,83,1.399,0.159,2.438,0.679,Critical
738,2026-01-31T18:00:00.000Z,singareni-s4,zone-b,EX-201,1.32,0.34,3.34,0.4,2.13,48,-85,70,0.17,0.116,0.634,0.325,Warning
739,2026-01-31T19:00:00.000Z,korba-west-bench,zone-c,TL-301,0.14,0.04,0.65,0.05,0.74,32,-76,81,0.006,0.067,0.045,0.073,Normal
740,2026-01-31T20:00:00.000Z,korba-west-bench,zone-c,EX-201,0.32,0.04,1.74,0.22,1.2,34,-69,70,0.013,0.12,0.109,0.112,Normal
741,2026-01-31T21:00:00.000Z,jharia-open-pit,zone-d,EX-201,1,0.01,0.17,0,0.59,27,-71,84,0.001,0,0.27,0.103,Normal
742,2026-01-31T22:00:00.000Z,korba-west-bench,zone-b,SN-101,2.81,0.88,6.88,1.25,2.71,75,-61,88,1.188,0.179,2.107,0.604,Critical
743,2026-01-31T23:00:00.000Z,singareni-s4,zone-c,TL-301,1.89,0.36,2.97,0.48,1.98,49,-60,66,0.209,0.156,0.926,0.286,Normal
744,2026-02-01T00:00:00.000Z,jharia-open-pit,zone-a,EX-201,3.47,0.69,7.46,0.97,3.99,84,-75,63,0.738,0.128,2.915,0.647,Critical
745,2026-02-01T01:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.36,0.17,0.41,0.31,0,13,-60,93,0.07,0.608,0.047,0.106,Normal
746,2026-02-01T02:00:00.000Z,jharia-open-pit,zone-d,PZ-401,2.08,0.4,4.25,0.4,2.14,49,-71,75,0.2,0.092,1.019,0.337,Warning
747,2026-02-01T03:00:00.000Z,singareni-s4,zone-a,TL-301,1.45,0.23,3.64,0.42,1.8,55,-76,82,0.12,0.112,0.797,0.382,Warning
748,2026-02-01T04:00:00.000Z,raniganj-south-slope,zone-c,EX-201,1.68,0.29,2.61,0.44,2.2,56,-72,76,0.157,0.162,0.941,0.284,Normal
749,2026-02-01T05:00:00.000Z,singareni-s4,zone-a,EX-201,0,0.14,0.81,0.12,0.31,11,-63,84,0.031,0.132,0,0.094,Normal
750,2026-02-01T06:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0.53,0.18,1.28,0.11,0.68,15,-63,86,0.038,0.08,0.08,0.135,Normal
751,2026-02-01T07:00:00.000Z,korba-west-bench,zone-d,SN-101,0.44,0,0.61,0.24,0.22,22,-74,62,0,0.338,0.097,0.049,Normal
752,2026-02-01T08:00:00.000Z,korba-west-bench,zone-a,EX-201,0.45,0,1.95,0.24,0.93,27,-81,72,0,0.117,0.122,0.057,Normal
753,2026-02-01T09:00:00.000Z,jharia-open-pit,zone-c,TL-301,1.21,0,0,0.27,0,27,-67,68,0,2.7,0.327,0.132,Normal
754,2026-02-01T10:00:00.000Z,jharia-open-pit,zone-c,SN-101,1.17,0.27,4.55,0.55,1.43,45,-73,97,0.176,0.118,0.526,0.254,Normal
755,2026-02-01T11:00:00.000Z,jharia-open-pit,zone-a,SN-101,0,0,1.17,0.24,0.44,38,-73,75,0,0.189,0,0.162,Normal
756,2026-02-01T12:00:00.000Z,korba-west-bench,zone-a,EX-201,1.62,0.35,1.52,0.93,0.5,49,-80,73,0.36,0.574,0.794,0.256,Normal
757,2026-02-01T13:00:00.000Z,korba-west-bench,zone-b,PZ-401,3.09,0.76,7.18,1.43,3.74,73,-75,99,1.163,0.196,2.256,0.589,Critical
758,2026-02-01T14:00:00.000Z,korba-west-bench,zone-d,EX-201,1.13,0.31,3.31,0.27,1.46,31,-75,96,0.115,0.079,0.35,0.185,Normal
759,2026-02-01T15:00:00.000Z,korba-west-bench,zone-a,PZ-401,1.31,0.53,4.19,0.33,2.35,34,-66,98,0.228,0.077,0.445,0.289,Normal
760,2026-02-01T16:00:00.000Z,jharia-open-pit,zone-c,SN-101,0.64,0.16,1.08,0.09,0.52,29,-80,68,0.03,0.076,0.186,0.114,Normal
761,2026-02-01T17:00:00.000Z,jharia-open-pit,zone-c,PZ-401,4.04,0.63,7.65,1.25,2.33,67,-68,74,0.851,0.161,2.707,0.595,Critical
762,2026-02-01T18:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.7,0.14,0.52,0.2,0.1,32,-84,87,0.042,0.323,0.224,0.054,Normal
763,2026-02-01T19:00:00.000Z,korba-west-bench,zone-d,TL-301,0.68,0.05,2.04,0.04,1.29,19,-77,81,0.007,0.019,0.129,0.075,Normal
764,2026-02-01T20:00:00.000Z,korba-west-bench,zone-a,SN-101,0.33,0.35,0.05,0,1.27,39,-80,84,0.035,0,0.129,0.281,Normal
765,2026-02-01T21:00:00.000Z,korba-west-bench,zone-d,TL-301,1.35,0.46,2.35,0.18,2.62,35,-71,79,0.129,0.073,0.472,0.29,Normal
766,2026-02-01T22:00:00.000Z,jharia-open-pit,zone-b,PZ-401,1.93,0.38,3.22,0.46,1.47,52,-67,73,0.213,0.139,1.004,0.286,Normal
767,2026-02-01T23:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0.6,0,0,0.22,0.19,23,-75,61,0,2.2,0.138,0.07,Normal
768,2026-02-02T00:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0,0.16,0.57,0,0.95,30,-79,65,0.016,0,0,0.083,Normal
769,2026-02-02T01:00:00.000Z,raniganj-south-slope,zone-b,TL-301,2.75,0.46,3.47,0.47,1.57,39,-81,95,0.262,0.132,1.073,0.384,Warning
770,2026-02-02T02:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0,0,0,0.03,0,33,-67,77,0,0.3,0,0.009,Normal
771,2026-02-02T03:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0,0.16,0.2,0.48,0.98,27,-79,79,0.093,1.6,0,0.107,Normal
772,2026-02-02T04:00:00.000Z,raniganj-south-slope,zone-b,EX-201,1.36,0.22,3.96,0.17,0.96,42,-73,85,0.059,0.042,0.571,0.224,Normal
773,2026-02-02T05:00:00.000Z,raniganj-south-slope,zone-c,EX-201,3.37,0.71,6.54,1.16,3.6,76,-68,92,0.895,0.175,2.561,0.585,Critical
774,2026-02-02T06:00:00.000Z,korba-west-bench,zone-d,SN-101,3.52,0.85,9.2,1.45,3.76,65,-67,73,1.317,0.156,2.288,0.662,Critical
775,2026-02-02T07:00:00.000Z,jharia-open-pit,zone-b,TL-301,0.33,0.16,0.74,0,0.26,21,-72,85,0.016,0,0.069,0.035,Normal
776,2026-02-02T08:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0.11,0,0.9,0.01,0.3,20,-62,99,0,0.01,0.022,0.053,Normal
777,2026-02-02T09:00:00.000Z,korba-west-bench,zone-d,SN-101,0.14,0.12,0.86,0.39,0,19,-81,86,0.059,0.406,0.027,0.118,Normal
778,2026-02-02T10:00:00.000Z,jharia-open-pit,zone-b,PZ-401,1.47,0.47,3.57,0.55,1.39,42,-84,68,0.305,0.15,0.617,0.357,Warning
779,2026-02-02T11:00:00.000Z,singareni-s4,zone-c,EX-201,2.97,0.96,9.21,1.12,3.38,78,-76,65,1.171,0.12,2.317,0.655,Critical
780,2026-02-02T12:00:00.000Z,korba-west-bench,zone-d,SN-101,0.66,0,0,0.23,0,14,-77,80,0,2.3,0.092,0.089,Normal
781,2026-02-02T13:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0.6,0,0,0,0.45,22,-83,87,0,0,0.132,0.038,Normal
782,2026-02-02T14:00:00.000Z,raniganj-south-slope,zone-a,SN-101,3.52,0.92,8.45,1.1,3.86,65,-62,63,1.104,0.129,2.288,0.741,Critical
783,2026-02-02T15:00:00.000Z,korba-west-bench,zone-c,PZ-401,1.1,0.13,0,0,0.34,10,-80,62,0.013,0,0.11,0.079,Normal
784,2026-02-02T16:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0.23,0,1.46,0,0.56,36,-81,80,0,0,0.083,0.023,Normal
785,2026-02-02T17:00:00.000Z,korba-west-bench,zone-a,EX-201,1.87,0.43,4.64,0.52,2.9,49,-71,91,0.267,0.11,0.916,0.382,Warning
786,2026-02-02T18:00:00.000Z,singareni-s4,zone-b,PZ-401,0,0.14,0.46,0.13,0.54,26,-64,80,0.032,0.232,0,0.045,Normal
787,2026-02-02T19:00:00.000Z,raniganj-south-slope,zone-c,EX-201,3.81,0.9,7.78,1.07,3.44,66,-65,65,1.053,0.136,2.515,0.652,Critical
788,2026-02-02T20:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0,0.21,0.49,0.2,0.27,33,-81,97,0.063,0.339,0,0.145,Normal
789,2026-02-02T21:00:00.000Z,raniganj-south-slope,zone-b,TL-301,3.85,0.67,7.72,1.41,3.44,79,-77,83,1.012,0.18,3.042,0.626,Critical
790,2026-02-02T22:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.61,0,1.39,0.14,0.65,35,-74,99,0,0.094,0.213,0.159,Normal
791,2026-02-02T23:00:00.000Z,singareni-s4,zone-c,EX-201,1.87,0.41,3.01,0.2,2.66,39,-72,68,0.123,0.064,0.729,0.314,Warning
792,2026-02-03T00:00:00.000Z,korba-west-bench,zone-a,TL-301,0,0.12,2.12,0.19,0,30,-63,66,0.035,0.086,0,0.136,Normal
793,2026-02-03T01:00:00.000Z,jharia-open-pit,zone-b,SN-101,0,0,0.95,0.23,1.25,24,-70,90,0,0.219,0,0.136,Normal
794,2026-02-03T02:00:00.000Z,raniganj-south-slope,zone-a,TL-301,1.31,0.31,4.13,0.73,1.18,50,-67,88,0.257,0.173,0.655,0.267,Normal
795,2026-02-03T03:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0.8,0.24,2.08,0.27,0.14,26,-71,75,0.089,0.124,0.208,0.172,Normal
796,2026-02-03T04:00:00.000Z,jharia-open-pit,zone-a,PZ-401,0,0,0.15,0.12,0.31,28,-72,100,0,0.48,0,-0.027,Normal
797,2026-02-03T05:00:00.000Z,jharia-open-pit,zone-c,EX-201,0.79,0.33,1.59,0,1.1,18,-74,62,0.033,0,0.142,0.202,Normal
798,2026-02-03T06:00:00.000Z,raniganj-south-slope,zone-a,PZ-401,3.22,0.93,7.88,1.07,3.6,60,-60,62,1.088,0.134,1.932,0.645,Critical
799,2026-02-03T07:00:00.000Z,singareni-s4,zone-d,EX-201,0.38,0.16,0.67,0.01,0.12,28,-72,82,0.018,0.013,0.106,0.124,Normal
800,2026-02-03T08:00:00.000Z,singareni-s4,zone-c,PZ-401,0,0.13,0.23,0.16,1.45,27,-84,67,0.034,0.485,0,0.177,Normal
801,2026-02-03T09:00:00.000Z,singareni-s4,zone-d,TL-301,1.99,0.43,2.98,0.56,0.79,52,-72,74,0.284,0.182,1.035,0.309,Warning
802,2026-02-03T10:00:00.000Z,singareni-s4,zone-c,TL-301,4.02,0.83,8.84,1.4,2.8,61,-83,91,1.245,0.157,2.452,0.735,Critical
803,2026-02-03T11:00:00.000Z,raniganj-south-slope,zone-b,SN-101,0.48,0.14,0.42,0.12,0.79,34,-67,96,0.031,0.231,0.163,0.118,Normal
804,2026-02-03T12:00:00.000Z,korba-west-bench,zone-a,SN-101,0,0,0.31,0.22,1.19,24,-77,75,0,0.537,0,0.059,Normal
805,2026-02-03T13:00:00.000Z,jharia-open-pit,zone-a,TL-301,1.26,0.28,2.87,0.57,1.53,59,-61,67,0.188,0.192,0.743,0.305,Warning
806,2026-02-03T14:00:00.000Z,korba-west-bench,zone-b,PZ-401,0.1,0,2.01,0.49,0,30,-69,78,0,0.232,0.03,0.074,Normal
807,2026-02-03T15:00:00.000Z,korba-west-bench,zone-b,EX-201,0.86,0.31,0.57,0.28,1.17,12,-63,67,0.118,0.418,0.103,0.121,Normal
808,2026-02-03T16:00:00.000Z,korba-west-bench,zone-a,TL-301,0.46,0.08,1.09,0,0.25,27,-66,88,0.008,0,0.124,0.209,Normal
809,2026-02-03T17:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0,0.23,0.53,0.18,1.08,24,-61,69,0.064,0.286,0,0.142,Normal
810,2026-02-03T18:00:00.000Z,korba-west-bench,zone-c,PZ-401,1.91,0.58,4.03,0.57,1.97,34,-79,82,0.389,0.138,0.649,0.366,Warning
811,2026-02-03T19:00:00.000Z,raniganj-south-slope,zone-c,EX-201,4.07,0.98,7.42,0.93,3.63,71,-66,80,1.009,0.124,2.89,0.662,Critical
812,2026-02-03T20:00:00.000Z,jharia-open-pit,zone-d,EX-201,0.91,0,1.93,0,0.93,39,-61,91,0,0,0.355,0.11,Normal
813,2026-02-03T21:00:00.000Z,korba-west-bench,zone-c,SN-101,2.91,0.94,7.08,0.86,3.69,74,-81,77,0.902,0.12,2.153,0.562,Critical
814,2026-02-03T22:00:00.000Z,singareni-s4,zone-a,TL-301,1.85,0.41,2.72,0.45,1.73,55,-71,82,0.226,0.16,1.018,0.313,Warning
815,2026-02-03T23:00:00.000Z,raniganj-south-slope,zone-a,EX-201,0.23,0,0.33,0.02,0.56,23,-69,95,0,0.047,0.053,0.054,Normal
816,2026-02-04T00:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,1.38,0.4,2.62,0.68,1.3,50,-65,78,0.312,0.25,0.69,0.319,Warning
817,2026-02-04T01:00:00.000Z,raniganj-south-slope,zone-a,TL-301,3.44,0.71,8.3,1.21,3.77,71,-76,71,0.93,0.144,2.442,0.66,Critical
818,2026-02-04T02:00:00.000Z,jharia-open-pit,zone-d,SN-101,0.59,0,1.13,0.21,0.42,32,-76,86,0,0.171,0.189,0.141,Normal
819,2026-02-04T03:00:00.000Z,korba-west-bench,zone-a,SN-101,3.72,0.83,8.13,1.02,4.08,72,-72,77,0.93,0.124,2.678,0.657,Critical
820,2026-02-04T04:00:00.000Z,raniganj-south-slope,zone-d,TL-301,3.44,0.88,7.8,1.07,3.59,62,-67,80,1.03,0.135,2.133,0.671,Critical
821,2026-02-04T05:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.74,0.06,0,0.21,1.47,24,-67,90,0.019,2.1,0.178,0.117,Normal
822,2026-02-04T06:00:00.000Z,korba-west-bench,zone-d,SN-101,0.26,0,1.34,0.18,0.67,21,-69,76,0,0.125,0.055,0.035,Normal
823,2026-02-04T07:00:00.000Z,korba-west-bench,zone-a,EX-201,0.53,0.05,0,0,0.67,29,-68,80,0.005,0,0.154,0.119,Normal
824,2026-02-04T08:00:00.000Z,singareni-s4,zone-c,TL-301,1.21,0,0,0,0.08,11,-62,93,0,0,0.133,0.033,Normal
825,2026-02-04T09:00:00.000Z,korba-west-bench,zone-a,EX-201,1.4,0.28,4.69,0.58,1.66,49,-62,70,0.19,0.121,0.686,0.333,Warning
826,2026-02-04T10:00:00.000Z,singareni-s4,zone-b,PZ-401,0.19,0,1.28,0.25,0.69,28,-69,68,0,0.181,0.053,0.073,Normal
827,2026-02-04T11:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,0,0,0.54,0.47,0.24,35,-84,62,0,0.734,0,0.065,Normal
828,2026-02-04T12:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0,0.27,0.57,0.28,1.03,28,-78,98,0.103,0.418,0,0.177,Normal
829,2026-02-04T13:00:00.000Z,korba-west-bench,zone-c,SN-101,0.82,0.19,0.82,0,0.54,17,-73,99,0.019,0,0.139,0.067,Normal
830,2026-02-04T14:00:00.000Z,korba-west-bench,zone-d,TL-301,3.3,0.63,7.61,1.47,3.58,69,-67,94,0.989,0.191,2.277,0.592,Critical
831,2026-02-04T15:00:00.000Z,jharia-open-pit,zone-c,SN-101,0.08,0.08,0,0,0.38,31,-62,63,0.008,0,0.025,0.048,Normal
832,2026-02-04T16:00:00.000Z,jharia-open-pit,zone-c,PZ-401,3.47,0.82,8.06,1.15,3.69,82,-73,81,1.025,0.141,2.845,0.615,Critical
833,2026-02-04T17:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.75,0.09,0,0,0.81,23,-77,65,0.009,0,0.173,0.058,Normal
834,2026-02-04T18:00:00.000Z,jharia-open-pit,zone-d,PZ-401,0.65,0,0.14,0,0.87,34,-61,89,0,0,0.221,0.147,Normal
835,2026-02-04T19:00:00.000Z,jharia-open-pit,zone-b,TL-301,1.06,0.11,0.03,0.03,0.99,26,-75,65,0.014,0.231,0.276,0.137,Normal
836,2026-02-04T20:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,0.13,0.08,0.11,0,0.42,10,-62,88,0.008,0,0.013,0.01,Normal
837,2026-02-04T21:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.19,0.18,0,0.14,0.24,26,-64,66,0.043,1.4,0.049,-0.008,Normal
838,2026-02-04T22:00:00.000Z,singareni-s4,zone-a,SN-101,1.52,0.4,2.25,0.34,1.48,46,-77,94,0.176,0.145,0.699,0.294,Normal
839,2026-02-04T23:00:00.000Z,singareni-s4,zone-d,EX-201,1.53,0.19,3.55,0.36,2.38,55,-79,66,0.087,0.099,0.842,0.207,Normal
840,2026-02-05T00:00:00.000Z,singareni-s4,zone-b,EX-201,0,0.08,0.7,0.08,0.58,11,-79,95,0.014,0.1,0,0.066,Normal
841,2026-02-05T01:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0.07,0.23,0.8,0.11,0.09,27,-70,69,0.048,0.122,0.019,0.059,Normal
842,2026-02-05T02:00:00.000Z,singareni-s4,zone-c,PZ-401,1.2,0.45,3.48,0.49,0.89,42,-63,73,0.266,0.137,0.504,0.31,Warning
843,2026-02-05T03:00:00.000Z,raniganj-south-slope,zone-b,EX-201,0.13,0.08,1.3,0.16,0.52,33,-78,95,0.021,0.114,0.043,0,Normal
844,2026-02-05T04:00:00.000Z,korba-west-bench,zone-b,SN-101,3.44,0.85,6.84,1.09,2.42,84,-83,74,1.012,0.157,2.89,0.642,Critical
845,2026-02-05T05:00:00.000Z,jharia-open-pit,zone-c,SN-101,0.43,0.06,2.22,0.14,0.8,42,-74,81,0.014,0.06,0.181,0.13,Normal
846,2026-02-05T06:00:00.000Z,singareni-s4,zone-c,SN-101,0,0.18,0.78,0.08,0.33,10,-67,62,0.032,0.091,0,0.103,Normal
847,2026-02-05T07:00:00.000Z,raniganj-south-slope,zone-d,SN-101,0.63,0,1.79,0.08,0.26,22,-80,65,0,0.042,0.139,0.086,Normal
848,2026-02-05T08:00:00.000Z,jharia-open-pit,zone-a,TL-301,3.38,0.71,6.11,1.62,2.48,68,-80,81,1.221,0.261,2.298,0.609,Critical
849,2026-02-05T09:00:00.000Z,korba-west-bench,zone-c,SN-101,0.86,0.09,2.25,0.17,0.52,21,-85,66,0.024,0.072,0.181,0.193,Normal
850,2026-02-05T10:00:00.000Z,jharia-open-pit,zone-d,SN-101,0,0.08,0.48,0.22,0.19,36,-73,68,0.026,0.379,0,0.062,Normal
851,2026-02-05T11:00:00.000Z,korba-west-bench,zone-c,PZ-401,0.23,0.04,1.42,0.18,0.66,22,-73,78,0.011,0.118,0.051,0.116,Normal
852,2026-02-05T12:00:00.000Z,raniganj-south-slope,zone-d,TL-301,0.13,0.06,0.81,0.34,0.51,39,-63,75,0.026,0.374,0.051,0.09,Normal
853,2026-02-05T13:00:00.000Z,raniganj-south-slope,zone-b,SN-101,3.84,0.81,7.51,1.08,3.48,67,-74,95,0.956,0.142,2.573,0.624,Critical
854,2026-02-05T14:00:00.000Z,korba-west-bench,zone-c,TL-301,1.09,0.09,0.44,0.41,0.04,30,-85,76,0.046,0.759,0.327,0.112,Normal
855,2026-02-05T15:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,0.55,0,0.8,0.03,1.57,21,-69,66,0,0.033,0.116,0.097,Normal
856,2026-02-05T16:00:00.000Z,singareni-s4,zone-a,TL-301,3.6,0.96,8.98,1.3,4.3,70,-76,99,1.344,0.143,2.52,0.742,Critical
857,2026-02-05T17:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.83,0.02,0,0.12,0.27,30,-60,93,0.004,1.2,0.249,0.03,Normal
858,2026-02-05T18:00:00.000Z,jharia-open-pit,zone-a,TL-301,0.22,0,2.83,0,0.61,16,-61,68,0,0,0.035,0.034,Normal
859,2026-02-05T19:00:00.000Z,korba-west-bench,zone-d,SN-101,1.66,0.38,4.08,0.53,1.77,56,-81,94,0.239,0.127,0.93,0.387,Warning
860,2026-02-05T20:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,1.64,0.45,4.56,0.5,1.88,47,-77,84,0.27,0.107,0.771,0.306,Warning
861,2026-02-05T21:00:00.000Z,korba-west-bench,zone-b,PZ-401,0,0.27,0,0.34,1.05,34,-68,63,0.119,3.4,0,0.186,Normal
862,2026-02-05T22:00:00.000Z,singareni-s4,zone-b,SN-101,1.49,0.18,4.19,0.63,2.29,51,-67,63,0.131,0.147,0.76,0.313,Warning
863,2026-02-05T23:00:00.000Z,korba-west-bench,zone-a,TL-301,0.06,0.21,0.78,0,1.52,26,-69,90,0.021,0,0.016,0.101,Normal
