log_id,tiltmeter_id,depth_m,x_axis_tilt_deg,y_axis_tilt_deg,temperature_c,battery_v
422,TLM-DEEP-16,130.0,1.051,0.935,34.8,3.97
423,TLM-DEEP-17,170.0,0.203,1.903,31.3,4.15
424,TLM-DEEP-10,210.0,1.985,2.061,34.1,3.41
425,TLM-DEEP-11,50.0,2.188,0.980,33.2,3.77
426,TLM-DEEP-12,90.0,2.940,1.081,31.4,3.41
427,TLM-DEEP-13,130.0,0.601,1.220,29.6,3.53
428,TLM-DEEP-14,170.0,2.202,2.187,29.6,4.18
429,TLM-DEEP-15,210.0,1.727,2.485,31.0,3.40
430,TLM-DEEP-16,50.0,2.407,2.136,36.0,4.06
431,TLM-DEEP-17,90.0,0.077,0.073,34.0,3.71
432,TLM-DEEP-10,130.0,1.774,1.177,29.1,3.54
433,TLM-DEEP-11,170.0,3.099,0.122,30.0,3.54
434,TLM-DEEP-12,210.0,2.944,0.329,30.8,3.57
435,TLM-DEEP-13,50.0,0.415,1.636,35.6,3.48
436,TLM-DEEP-14,90.0,0.807,0.426,34.9,3.98
437,TLM-DEEP-15,130.0,1.832,0.921,31.8,3.80
438,TLM-DEEP-16,170.0,1.040,1.180,33.6,3.43
439,TLM-DEEP-17,210.0,2.684,1.116,36.4,3.44
440,TLM-DEEP-10,50.0,1.150,2.133,29.7,3.81
441,TLM-DEEP-11,90.0,1.985,1.099,35.5,3.98
442,TLM-DEEP-12,130.0,3.341,0.820,32.6,3.77
443,TLM-DEEP-13,170.0,3.140,0.640,34.4,4.01
444,TLM-DEEP-14,210.0,0.984,1.621,32.6,3.79
445,TLM-DEEP-15,50.0,1.320,1.461,33.9,3.54
446,TLM-DEEP-16,90.0,3.066,2.040,36.1,4.01
447,TLM-DEEP-17,130.0,2.577,1.462,34.2,4.15
448,TLM-DEEP-10,170.0,0.733,0.652,33.1,3.71
449,TLM-DEEP-11,210.0,2.892,0.772,31.4,3.49
450,TLM-DEEP-12,50.0,3.461,0.418,28.9,3.53
451,TLM-DEEP-13,90.0,2.548,2.741,34.9,3.96
452,TLM-DEEP-14,130.0,1.913,1.233,35.9,3.48
453,TLM-DEEP-15,170.0,0.673,1.657,30.9,3.85
454,TLM-DEEP-16,210.0,0.609,1.834,28.7,3.78
455,TLM-DEEP-17,50.0,1.546,2.488,34.4,3.95
456,TLM-DEEP-10,90.0,2.517,2.547,32.3,4.01
457,TLM-DEEP-11,130.0,2.851,0.553,36.0,3.41
458,TLM-DEEP-12,170.0,0.423,1.136,31.0,3.50
459,TLM-DEEP-13,210.0,3.328,0.393,35.3,3.91
460,TLM-DEEP-14,50.0,2.490,2.789,31.1,3.75
461,TLM-DEEP-15,90.0,1.066,2.778,30.8,3.62
462,TLM-DEEP-16,130.0,2.544,1.665,30.7,3.85
463,TLM-DEEP-17,170.0,1.996,2.451,29.4,4.18
464,TLM-DEEP-10,210.0,2.704,2.542,28.6,3.91
465,TLM-DEEP-11,50.0,1.205,2.099,36.3,3.65
466,TLM-DEEP-12,90.0,1.123,2.581,35.5,4.05
467,TLM-DEEP-13,130.0,3.223,0.835,33.8,4.14
468,TLM-DEEP-14,170.0,3.186,0.058,35.8,4.12
469,TLM-DEEP-15,210.0,1.266,2.095,32.9,3.65
470,TLM-DEEP-16,50.0,2.802,0.265,30.4,3.55
471,TLM-DEEP-17,90.0,3.169,1.633,33.4,3.44
472,TLM-DEEP-10,130.0,2.529,2.479,33.6,3.70
473,TLM-DEEP-11,170.0,1.265,1.858,33.4,3.44
474,TLM-DEEP-12,210.0,2.040,1.868,32.1,3.74
475,TLM-DEEP-13,50.0,2.562,0.633,33.2,3.92
476,TLM-DEEP-14,90.0,1.456,1.576,33.7,3.64
477,TLM-DEEP-15,130.0,3.053,1.760,35.7,4.13
478,TLM-DEEP-16,170.0,0.124,1.967,30.1,3.89
479,TLM-DEEP-17,210.0,0.492,0.638,36.0,3.75
480,TLM-DEEP-10,50.0,1.526,1.384,31.6,3.80
481,TLM-DEEP-11,90.0,2.843,0.383,34.2,4.20
482,TLM-DEEP-12,130.0,1.268,0.102,30.4,3.43
483,TLM-DEEP-13,170.0,0.874,2.203,28.9,3.77
484,TLM-DEEP-14,210.0,2.339,0.673,35.1,3.51
485,TLM-DEEP-15,50.0,1.851,2.203,36.3,3.80
486,TLM-DEEP-16,90.0,0.370,1.483,36.3,3.84
487,TLM-DEEP-17,130.0,1.390,0.408,29.1,3.73
488,TLM-DEEP-10,170.0,0.170,2.683,35.0,3.42
489,TLM-DEEP-11,210.0,0.406,0.385,28.8,4.01
490,TLM-DEEP-12,50.0,1.692,2.381,28.8,3.93
491,TLM-DEEP-13,90.0,1.117,1.649,34.8,3.96
492,TLM-DEEP-14,130.0,0.137,0.862,30.6,3.41
493,TLM-DEEP-15,170.0,0.125,1.003,30.7,3.73
494,TLM-DEEP-16,210.0,3.126,1.830,32.2,3.80
495,TLM-DEEP-17,50.0,2.398,1.064,36.0,4.04
496,TLM-DEEP-10,90.0,1.234,0.575,34.0,3.60
497,TLM-DEEP-11,130.0,3.253,2.244,29.5,3.64
498,TLM-DEEP-12,170.0,1.044,1.537,31.0,3.92
499,TLM-DEEP-13,210.0,2.807,2.412,33.4,3.55
500,TLM-DEEP-14,50.0,0.752,1.727,29.7,3.66
501,TLM-DEEP-15,90.0,3.211,2.575,30.9,3.89
502,TLM-DEEP-16,130.0,3.452,2.736,34.3,4.16
503,TLM-DEEP-17,170.0,1.874,1.816,35.7,3.54
504,TLM-DEEP-10,210.0,3.082,1.540,34.5,3.59
505,TLM-DEEP-11,50.0,2.302,1.238,35.2,3.80
506,TLM-DEEP-12,90.0,1.575,0.384,36.2,4.19
507,TLM-DEEP-13,130.0,3.497,2.507,33.7,3.99
508,TLM-DEEP-14,170.0,0.829,0.065,36.3,4.08
509,TLM-DEEP-15,210.0,0.454,2.309,31.7,3.42
510,TLM-DEEP-16,50.0,0.296,0.809,30.8,3.77
511,TLM-DEEP-17,90.0,1.346,0.427,32.5,3.59
512,TLM-DEEP-10,130.0,1.480,1.312,34.6,3.63
513,TLM-DEEP-11,170.0,1.441,1.690,29.8,3.61
514,TLM-DEEP-12,210.0,1.241,0.555,33.3,3.76
515,TLM-DEEP-13,50.0,2.983,1.724,34.2,3.85
516,TLM-DEEP-14,90.0,1.918,0.303,29.4,3.74
517,TLM-DEEP-15,130.0,0.007,1.584,35.9,3.95
518,TLM-DEEP-16,170.0,1.444,2.323,35.3,3.41
519,TLM-DEEP-17,210.0,0.216,0.492,32.3,3.55
520,TLM-DEEP-10,50.0,3.160,0.069,31.5,3.82
521,TLM-DEEP-11,90.0,2.967,0.537,35.2,4.09
522,TLM-DEEP-12,130.0,2.370,2.120,28.8,3.76
523,TLM-DEEP-13,170.0,3.430,1.484,32.4,4.00
524,TLM-DEEP-14,210.0,1.989,1.155,29.1,3.92
525,TLM-DEEP-15,50.0,1.931,2.790,31.3,4.01
526,TLM-DEEP-16,90.0,3.172,1.568,30.3,3.75
527,TLM-DEEP-17,130.0,1.986,1.701,30.4,3.63
528,TLM-DEEP-10,170.0,1.332,2.015,35.3,4.09
529,TLM-DEEP-11,210.0,1.883,2.750,31.2,3.51
530,TLM-DEEP-12,50.0,1.528,0.669,33.0,3.60
531,TLM-DEEP-13,90.0,2.208,0.563,30.9,3.51
532,TLM-DEEP-14,130.0,0.147,1.463,30.5,3.78
533,TLM-DEEP-15,170.0,0.503,1.235,34.4,4.13
534,TLM-DEEP-16,210.0,1.997,0.389,32.7,4.19
535,TLM-DEEP-17,50.0,1.500,0.978,31.8,3.52
536,TLM-DEEP-10,90.0,0.632,0.226,29.6,3.46
537,TLM-DEEP-11,130.0,3.497,1.085,31.2,4.13
538,TLM-DEEP-12,170.0,2.516,2.504,29.8,3.45
539,TLM-DEEP-13,210.0,2.192,1.829,34.5,3.77
540,TLM-DEEP-14,50.0,1.120,0.920,29.6,3.52
541,TLM-DEEP-15,90.0,1.376,0.537,30.1,3.41
542,TLM-DEEP-16,130.0,1.144,1.138,30.1,4.09
543,TLM-DEEP-17,170.0,2.162,0.651,32.7,3.65
544,TLM-DEEP-10,210.0,2.927,0.599,32.8,3.86
545,TLM-DEEP-11,50.0,0.620,0.922,36.0,3.45
546,TLM-DEEP-12,90.0,3.374,1.002,29.7,4.00
547,TLM-DEEP-13,130.0,1.036,1.370,36.2,3.67
548,TLM-DEEP-14,170.0,0.308,0.294,29.2,3.43
549,TLM-DEEP-15,210.0,0.012,2.584,35.2,3.99
550,TLM-DEEP-16,50.0,2.730,1.176,33.6,3.78
551,TLM-DEEP-17,90.0,2.463,2.362,30.7,3.50
552,TLM-DEEP-10,130.0,3.370,0.034,31.1,3.74
553,TLM-DEEP-11,170.0,0.020,1.943,29.6,3.96
554,TLM-DEEP-12,210.0,1.839,0.770,33.9,3.74
555,TLM-DEEP-13,50.0,2.818,0.239,31.8,3.69
556,TLM-DEEP-14,90.0,2.743,0.385,34.7,4.17
557,TLM-DEEP-15,130.0,0.509,1.072,30.6,3.81
558,TLM-DEEP-16,170.0,3.335,0.724,34.8,3.79
559,TLM-DEEP-17,210.0,0.456,2.014,32.8,4.07
560,TLM-DEEP-10,50.0,1.477,1.811,30.2,3.65
561,TLM-DEEP-11,90.0,3.091,0.205,32.8,4.07
562,TLM-DEEP-12,130.0,2.219,1.413,34.7,3.49
563,TLM-DEEP-13,170.0,0.614,1.897,35.5,3.77
564,TLM-DEEP-14,210.0,2.388,0.327,29.5,3.91
565,TLM-DEEP-15,50.0,2.500,1.689,34.0,4.10
566,TLM-DEEP-16,90.0,0.353,0.174,31.1,3.60
567,TLM-DEEP-17,130.0,1.309,1.679,29.2,3.99
568,TLM-DEEP-10,170.0,3.299,1.033,34.2,3.74
569,TLM-DEEP-11,210.0,0.722,1.189,33.3,3.78
570,TLM-DEEP-12,50.0,0.296,0.670,34.3,3.71
571,TLM-DEEP-13,90.0,3.408,0.054,30.4,4.03
572,TLM-DEEP-14,130.0,3.424,1.864,32.2,3.83
573,TLM-DEEP-15,170.0,0.196,0.809,34.0,3.54
574,TLM-DEEP-16,210.0,0.211,0.459,34.9,3.47
575,TLM-DEEP-17,50.0,1.308,2.038,30.4,3.93
576,TLM-DEEP-10,90.0,0.468,0.479,33.1,3.95
577,TLM-DEEP-11,130.0,2.707,0.426,30.2,3.54
578,TLM-DEEP-12,170.0,3.269,2.108,36.0,3.72
579,TLM-DEEP-13,210.0,1.136,0.729,32.4,3.83
580,TLM-DEEP-14,50.0,0.388,0.065,31.7,3.60
581,TLM-DEEP-15,90.0,3.184,1.888,34.2,3.98
582,TLM-DEEP-16,130.0,2.302,2.780,35.4,3.51
583,TLM-DEEP-17,170.0,0.379,0.702,31.9,3.82
584,TLM-DEEP-10,210.0,3.204,0.490,28.7,3.68
585,TLM-DEEP-11,50.0,2.263,1.252,28.9,3.60
586,TLM-DEEP-12,90.0,0.339,1.628,32.4,4.01
587,TLM-DEEP-13,130.0,2.563,2.612,31.1,4.15
588,TLM-DEEP-14,170.0,3.055,1.010,28.9,3.45
589,TLM-DEEP-15,210.0,1.574,1.778,31.6,4.18
590,TLM-DEEP-16,50.0,0.908,0.006,32.8,4.10
591,TLM-DEEP-17,90.0,2.528,0.249,29.7,4.01
592,TLM-DEEP-10,130.0,1.978,0.094,32.8,4.10
593,TLM-DEEP-11,170.0,1.649,1.455,28.7,3.69
594,TLM-DEEP-12,210.0,1.108,2.465,32.0,4.01
595,TLM-DEEP-13,50.0,0.551,0.398,35.1,3.96
596,TLM-DEEP-14,90.0,3.364,1.404,33.0,4.15
597,TLM-DEEP-15,130.0,3.045,2.048,36.0,4.15
598,TLM-DEEP-16,170.0,1.604,2.362,36.1,3.92
599,TLM-DEEP-17,210.0,1.568,1.940,34.8,4.12
600,TLM-DEEP-10,50.0,3.180,0.797,32.3,3.78
